Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
EOLAS/WETH Eolas ☴,$0.5263,1mo,"3,810","3,810","3,810",-1.92%,-1.25%,14.11%,-7.32%,$647K,$11.0M
BOOB/WETH Book Of Bitcoin,$0.043292,8mo,40,40,40,0%,-4.89%,26.06%,39.43%,$95K,$329K
Hold/WETH Everybody,$0.0002364,1y,30,30,30,0%,0%,-2.57%,-16.94%,$425K,$6.5M
DeSci /SOL DeSci ,$0.0007403,1mo,"1,435","1,435","1,435",-0.96%,-1.24%,-34.18%,-28.09%,$181K,$739K
X/WETH X.com,$0.06738,1y,42,42,42,0%,0.56%,-0.49%,-6.67%,$773K,$6.7M
aura/SOL aura,$0.008595,7mo,"1,821","1,821","1,821",0.01%,0.28%,2.71%,4.26%,$1.2M,$8.2M
omg/WETH 0xOmega,$0.001960,1mo,65,65,65,0%,0%,3.96%,29.28%,$179K,$1.9M
MOTHER/SOL MOTHER IGGY,$0.03596,7mo,"3,882","3,882","3,882",-0.03%,-2.63%,1.52%,-4.07%,$3.1M,$35.4M
SNAI/SOL SwarmNode.ai,$0.1086,13d,"2,356","2,356","2,356",0%,8.83%,-1.17%,5.67%,$847K,$98.0M
DORKY/WETH Dork Lord,$0.04075,6mo,46,46,46,0%,0.92%,6.33%,-2.31%,$95K,$2.8M
todd/SOL todd,$0.0003015,2mo,594,594,594,0%,-1.35%,72.41%,19.73%,$117K,$298K
SOLARIS/SOL Solaris AI,$0.01084,2mo,"3,068","3,068","3,068",-2.66%,3.59%,16.19%,9.97%,$632K,$10.8M
ELMNT/TITANX Element 280,$0.062697,2mo,17,17,17,0%,0%,6.51%,6.56%,$94K,$707K
BAD/WETH BAD IDEA AI,$0.071758,1y,99,99,99,0%,0.36%,2.19%,-8.40%,$1.4M,$10.3M
Golden Ape/SOL GAPE,$0.002088,7d,"1,667","1,667","1,667",-0.42%,3.02%,13.00%,38.60%,$202K,$1.9M
LPUSS/WETH Linpuss,$0.001462,2mo,47,47,47,0%,0.38%,0.40%,0.05%,$143K,$1.4M
LEDGER/WETH Ledger Ai,$0.004133,3mo,46,46,46,0%,-0.57%,1.47%,10.19%,$740K,$8.8M
TRUMPUS/SOL Trumpus Maximus,$0.0002000,3d,"3,342","3,342","3,342",-4.89%,-3.69%,-42.66%,47.29%,$78K,$200K
REDEEM/SOL redeemsolana.com,$0.0002161,15h,"3,679","3,679","3,679",-5.44%,42.34%,-18.14%,124%,$56K,$204K
RENEC/WBNB RENEC,$0.2262,2mo,7,7,7,0%,0%,-0.26%,2.73%,$95K,$67K
APEDOG/WAPE APEDOG,$0.0002938,2mo,4,4,4,0%,0%,0%,-0.29%,$76K,$224K
CYG/WETH Cyclix Games,$0.7122,8mo,18,18,18,0%,0%,2.09%,2.64%,$824K,$10.4M
SkyAI/SOL Sky the AI ✨,$0.001519,6d,"2,270","2,270","2,270",-1.27%,8.00%,-13.26%,-5.90%,$200K,$1.5M
CPA/VIRTUAL CPA by Virtuals,$0.006966,3d,"2,100","2,100","2,100",-0.18%,-12.71%,-15.26%,-42.45%,$844K,$6.9M
Butthole/SOL Butthole Coin,$0.02540,5d,316,316,316,0%,15.08%,10.03%,-0.52%,$30K,$25.4M
Bert/SOL Bertram The Pomeranian,$0.03207,3mo,"1,820","1,820","1,820",0.21%,1.42%,2.22%,-4.39%,$1.8M,$31.4M
DTSI/WETH DoTheySupportItBot by Virtuals,$0.01079,15h,"7,991","7,991","7,991",1.23%,-10.24%,9.91%,"1,030%",$32K,$10.7M
Flower/SOL FlowerAI,$0.003326,1mo,"3,840","3,840","3,840",-2.61%,-1.38%,11.54%,-34.00%,$485K,$3.3M
YUNA/SOL Yuna AI,$0.0005337,3d,"2,992","2,992","2,992",-27.54%,-32.39%,-40.92%,-33.27%,$113K,$533K
TRISIG/SOL TRI SIGMA,$0.07794,5d,"5,024","5,024","5,024",0.55%,10.73%,1.16%,-1.97%,$79K,$77.9M
TARIFF/SOL TARIFF,$0.0008680,1d,"4,797","4,797","4,797",-0.12%,0.10%,0.60%,21.49%,$121K,$868K
MDEL/SOL Machine Delusions,$0.0009456,1mo,"1,756","1,756","1,756",-0.81%,-8.18%,55.46%,6.00%,$164K,$945K
BINARY/SOL darksun,$0.001403,1mo,"1,419","1,419","1,419",-0.80%,-5.62%,-10.82%,-25.43%,$286K,$1.4M
WEAVE/SOL PATTERN_WEAVER,$0.0006671,17d,"3,348","3,348","3,348",-2.08%,-0.48%,-24.70%,-47.06%,$119K,$667K
RACER/SOL RACER AI,$0.0003751,1mo,"1,200","1,200","1,200",-0.28%,18.81%,120%,71.04%,$91K,$375K
HOTKEY/WETH HotKeySwap,$0.01051,10mo,41,41,41,0%,0.42%,7.48%,11.34%,$239K,$935K
MIGGLES/WETH Mister Miggles,$0.05139,5mo,"2,022","2,022","2,022",-0.02%,0.46%,-11.06%,1.29%,$1.7M,$49.2M
Mini GOUT/WBNB MINIGOUT,$0.062259,1mo,5,5,5,0%,0%,-0.63%,-0.80%,$92K,$53K
Goosepumps/SOL GoosepumpsAI,$0.0005108,4d,"2,201","2,201","2,201",0.36%,-12.74%,-7.44%,-7.22%,$113K,$510K
🇺🇸/SOL AMERICA,$0.0004629,3mo,"1,411","1,411","1,411",1.14%,26.89%,-6.54%,-31.49%,$107K,$449K
FOREST/SOL FOREST,$0.009950,2mo,"2,401","2,401","2,401",-0.09%,-0.76%,1.18%,5.55%,$1.1M,$9.9M
RETIREMENT/SOL THE RETIREMENT COIN,$0.0004499,5d,"2,773","2,773","2,773",1.25%,-4.61%,20.98%,-36.02%,$129K,$449K
LLM/SOL LLM,$0.001182,1mo,"2,051","2,051","2,051",0.39%,-8.46%,40.63%,28.44%,$186K,$1.1M
ALCH/SOL Alchemist AI,$0.1913,1mo,"3,331","3,331","3,331",0%,2.61%,7.95%,3.72%,$866K,$162.6M
BABYKEKIUS/WETH Baby Kekius Maximus,$0.043711,3d,587,587,587,-4.89%,8.98%,21.24%,212%,$75K,$371K
PONKE/SOL PONKE,$0.3715,1y,"2,767","2,767","2,767",0.44%,-0.66%,4.25%,3.31%,$7.0M,$204.2M
TSUKA/USDC Dejitaru Tsuka,$0.006305,2y,38,38,38,0%,0%,2.18%,3.84%,$813K,$6.3M
MOBY/WETH MobyToken,$0.04885,10mo,51,51,51,0%,0.69%,0.94%,-1.70%,$725K,$2.0M
SAGE/WETH Sage Market,$0.07338,7mo,16,16,16,0%,-0.05%,-0.05%,2.39%,$489K,$7.3M
Zoog/SOL Zoog,$0.0005541,6d,"3,543","3,543","3,543",-0.69%,-7.74%,-3.23%,48.30%,$150K,$554K
HUSH/SOL Hush AI,$0.001186,9d,"2,203","2,203","2,203",-0.55%,4.50%,10.69%,40.42%,$191K,$1.1M
BVM/WETH BVM,$0.2870,9mo,13,13,13,0%,0.43%,0.16%,-0.96%,$1.1M,$7.1M
BAO/SOL ElizaBAO,$0.0006440,4d,"7,170","7,170","7,170",-0.42%,-5.67%,2.46%,60.22%,$112K,$643K
DOLAN/SOL Dolan Duck,$0.2133,11mo,"1,559","1,559","1,559",0%,-1.97%,-5.44%,-9.15%,$1.1M,$20.9M
ASTEROID/WETH Asteroid Shiba,$0.067907,3mo,12,12,12,0%,0%,2.01%,3.88%,$129K,$332K
ODDS/WETH OddsNotify,$0.001165,1mo,19,19,19,0%,-15.25%,-15.83%,-14.59%,$134K,$582K
WASD/WETH WASD Studios,$0.001797,9mo,30,30,30,0%,0.94%,2.99%,-10.77%,$166K,$1.7M
DROPS/WETH Drops,$0.1362,9mo,6,6,6,0%,0%,-3.33%,-6.21%,$250K,$1.3M
nub/SOL nubcat,$0.01351,9mo,"3,056","3,056","3,056",1.70%,0.78%,0.10%,10.68%,$1.9M,$13.5M
42/SOL Cyphomancer,$0.003042,1mo,"1,668","1,668","1,668",-0.58%,-0.61%,14.65%,51.03%,$258K,$2.8M
MAGIC/WETH MAGIC,$0.5265,3y,"5,103","5,103","5,103",-0.29%,-0.47%,-0.94%,-1.88%,$914K,$160.3M
MARU/WETH MARUTARO,$0.044391,3mo,10,10,10,0%,0%,-11.12%,-18.75%,$92K,$399K
DeV/SOL DeVitalik,$0.0009862,13d,"1,091","1,091","1,091",0.28%,13.97%,49.72%,90.99%,$154K,$986K
CRISPR/SOL Cas9,$0.005568,5d,"3,345","3,345","3,345",-0.11%,1.12%,27.29%,-27.20%,$519K,$5.5M
TNSR/SOL Tensorium,$0.008907,1mo,"6,979","6,979","6,979",-1.45%,-3.25%,-5.56%,-26.06%,$581K,$8.9M
MINU/WBNB Minu,$0.072798,1y,35,35,35,-0.02%,0.41%,-0.32%,-10.50%,$85K,$152K
DECHAT/USDT CHAT,$0.09414,10mo,144,144,144,0%,-0.07%,0.21%,7.74%,$85K,$348K
BabyCheems/WBNB Baby Cheems,$0.093792,1mo,13,13,13,0%,0%,-0.42%,-0.90%,$86K,$100K
BLAST/WETH Blast,$0.009302,6mo,353,353,353,-0.24%,0.02%,2.91%,0.37%,$82K,$222.7M
SS/SOL  Styro Steve,$0.001967,18d,"4,623","4,623","4,623",-2.22%,-10.10%,-3.45%,-33.11%,$306K,$1.9M
KRA/SOL Kira Kuru,$0.02582,25d,"2,935","2,935","2,935",-0.54%,-3.04%,21.18%,6.15%,$677K,$25.8M
LEXICON/SOL Lexicon,$0.01754,4d,"2,314","2,314","2,314",-4.21%,-9.29%,16.68%,3.61%,$186K,$17.5M
WSB/SOL Wall Street Bets,$0.001052,1y,521,521,521,-0.52%,-0.84%,3.39%,-5.43%,$116K,$441K
TROLL/WETH TROLL,$0.071162,1y,23,23,23,0%,0%,-1.51%,-2.35%,$1.4M,$11.1M
Groyper/WETH Groyper,$0.02138,7mo,20,20,20,3.95%,4.76%,4.62%,7.78%,$305K,$1.9M
BLAST/WETH Blast,$0.009316,6mo,228,228,228,0%,0.11%,3.20%,0.46%,$85K,$223.0M
ODOS/WETH Odos Token,$0.03960,15d,"2,669","2,669","2,669",-0.01%,1.09%,-0.30%,0.63%,$164K,$63.3M
ODOS/USDC Odos Token,$0.03946,-,"1,107","1,107","1,107",0.16%,0.94%,-1.00%,1.03%,$2.8M,$63.1M
PALAI/WETH PaladinAI,$0.02329,1y,34,34,34,0%,-0.76%,-9.67%,-6.53%,$372K,$2.3M
btc/WETH bitcoin,$0.1541,7mo,23,23,23,0%,0.48%,-0.62%,-3.22%,$657K,$1.6M
HEDGE/WETH HedgeFi,$0.0004481,3mo,22,22,22,0%,0%,2.65%,-15.56%,$111K,$448K
Bunny/WETH Bunny,$0.0001012,24d,24,24,24,0%,2.96%,1.03%,-0.61%,$150K,$1.0M
NEUR/SOL neur.sh,$0.04371,10d,"3,202","3,202","3,202",2.83%,6.39%,11.37%,-7.28%,$453K,$39.3M
APU/WETH Apu Apustaja,$0.0006525,9mo,143,143,143,-0.62%,-0.18%,6.76%,20.55%,$1.1M,$220.4M
Wolf/WETH Landwolf,$0.005029,9mo,14,14,14,0%,0.63%,0.77%,-2.11%,$346K,$2.1M
SOLANA/WETH BarbieCrashBandicootRFK888Inu,$0.081094,1y,13,13,13,0%,0%,-0.62%,9.47%,$311K,$972K
intAI/SOL intellika AI,$0.0009710,1mo,"1,562","1,562","1,562",-0.68%,1.68%,-5.39%,-27.71%,$149K,$971K
shaw/SOL Shaw,$0.001221,1mo,"1,807","1,807","1,807",0%,-8.31%,8.98%,-31.30%,$222K,$1.2M
COOKIE/WETH Cookie,$0.4735,1mo,"10,386","10,386","10,386",0.51%,2.51%,7.07%,-16.58%,$1.4M,$88.0M
COVE/SOL Cove Quant,$0.001149,22d,"2,188","2,188","2,188",-0.44%,2.17%,23.51%,-33.32%,$182K,$1.1M
EVE/SOL EVE,$0.001081,10d,"2,107","2,107","2,107",-0.15%,7.68%,21.24%,-10.58%,$169K,$1.0M
PanterAI/SOL PanterAI,$0.002445,1mo,"3,887","3,887","3,887",4.65%,-3.51%,8.78%,-25.00%,$233K,$2.4M
EAI/WETH Eagle AI,$0.4163,7mo,"1,305","1,305","1,305",0.04%,0.11%,11.85%,5.48%,$1.3M,$41.6M
MORRIS II/SOL FIRST AI VIRUS,$0.002270,1mo,"2,555","2,555","2,555",3.48%,7.48%,12.70%,27.84%,$328K,$2.2M
DIGIMON/SOL Digimon,$0.007992,1mo,"1,254","1,254","1,254",-0.04%,1.89%,-4.42%,39.07%,$446K,$7.9M
ADAM/SOL ADAM,$0.0006462,10d,"2,211","2,211","2,211",-0.28%,5.35%,15.56%,-19.08%,$132K,$646K
BLAST/USDB Blast,$0.009340,6mo,129,129,129,0%,0.28%,3.29%,0.68%,$84K,$223.6M
ai16z/SOL ai16z,$2.07,2mo,"1,561","1,561","1,561",-0.23%,-3.84%,3.32%,2.48%,$4.8M,$2.27B
VAIL/WBNB Prevail,$0.02954,10mo,22,22,22,0%,0%,0%,19.87%,$79K,$242K
NS/SUI SuiNS Token,$0.3093,1mo,"6,564","6,564","6,564",-0.69%,0.38%,3.83%,8.61%,$800K,$48.0M
BTC/WETH HarryPotterTrumpSonic100Inu,$0.0004794,1mo,41,41,41,0%,1.54%,-16.80%,-2.90%,$89K,$479K
Squid2/WBNB SquidGame2,$0.091069,22d,145,145,145,0%,0.45%,-0.72%,-5.74%,$36K,$40K
GIGACHAD/WETH GigaChad,$0.085849,1y,75,75,75,-5.13%,-4.26%,-2.95%,-5.73%,$340K,$2.4M
TRUMPPEPE/WBNB Trump Pepe Agenda,$0.067489,9mo,4,4,4,0%,0%,-0.63%,-0.63%,$82K,$47K
FEENIX/SOL Feenix,$0.004621,1mo,"1,733","1,733","1,733",0.51%,5.95%,22.06%,-8.17%,$248K,$3.6M
Ropirito/SOL Ropirito,$0.005384,1mo,"4,682","4,682","4,682",0.04%,-0.77%,5.21%,20.04%,$549K,$5.3M
SMZAI/SOL Simulize AI,$0.0003851,5d,"2,671","2,671","2,671",-1.23%,3.95%,13.86%,-30.97%,$98K,$385K
D/ACC/SOL D/ACC,$0.007596,1y,"2,317","2,317","2,317",-0.36%,-3.61%,-2.09%,-16.63%,$154K,$758K
TRUMPIUS/WETH Trumpius Maximus,$0.005910,2d,758,758,758,-10.86%,-7.86%,-2.46%,-49.13%,$63K,$277K
AMO/WETH Amino,$0.0001905,1y,50,50,50,0%,0%,0.47%,12.42%,$434K,$8.9M
NOVA/SOL Nova on Mars,$0.001016,1mo,"1,236","1,236","1,236",-1.34%,-5.77%,-28.14%,-14.11%,$162K,$1.0M
BRAI/WETH BribeAI,$0.05376,10mo,12,12,12,0%,0%,-7.36%,-5.62%,$101K,$529K
ROCK/WETH Rock,$0.1656,6mo,6,6,6,0%,-0.90%,-1.97%,-1.78%,$312K,$3.1M
WIRE/VIRTUAL 717ai by Virtuals,$0.002989,5d,"1,366","1,366","1,366",-0.40%,3.74%,3.92%,-15.60%,$549K,$2.9M
ANDY/WBNB Andy,$0.041686,5mo,123,123,123,0%,0%,-0.84%,-2.70%,$82K,$168K
Ross/SOL Ross Ulbricht,$0.02469,7mo,"1,800","1,800","1,800",-0.65%,-3.41%,-5.09%,17.56%,$1.1M,$24.6M
imago/SOL imago,$0.0006030,22d,"2,226","2,226","2,226",2.10%,-3.72%,-27.21%,-19.80%,$127K,$603K
EZSIS/SOL Eliza's Sister,$0.002173,2mo,"2,076","2,076","2,076",-1.12%,-3.90%,40.26%,16.39%,$240K,$2.1M
NeoTech/WETH NEOT,$0.03569,14d,234,234,234,0%,0.29%,-0.51%,-1.43%,$475K,$8.9M
JUP/USDC Jupiter,$0.9433,11mo,"5,822","5,822","5,822",-0.19%,-0.56%,2.38%,3.20%,$256K,$1.27B
GME/SOL GameStop,$0.004094,11mo,"2,969","2,969","2,969",0.49%,-0.67%,4.61%,3.02%,$4.2M,$28.1M
CLASH/WBNB Clashub,$0.006127,1mo,116,116,116,-0.15%,-0.08%,-0.53%,-0.53%,$83K,$1.2M
Prawn/SOL Pepe The King Prawn,$0.002144,29d,"2,030","2,030","2,030",-0.61%,-1.55%,-1.02%,28.86%,$375K,$2.1M
BASED/SOL BASED,$0.003721,5mo,"1,050","1,050","1,050",0.67%,15.51%,27.34%,34.53%,$453K,$3.6M
OZONE/USDT OZONE,$0.001696,10mo,266,266,266,0%,0%,15.66%,24.22%,$62K,$1.7M
Pongo/WETH Pongo,$0.067090,8mo,90,90,90,0%,-0.10%,-7.07%,6.86%,$105K,$716K
AR/WETH Alameda Research V2,$0.002791,14d,"2,468","2,468","2,468",-0.07%,-6.14%,-7.38%,-20.52%,$223K,$3.0M
TET/WETH Tectum Emission Token,$5.82,1y,79,79,79,0%,-0.07%,0.02%,-1.94%,$3.0M,$45.4M
NOT/TON Notcoin,$0.006615,2mo,"1,130","1,130","1,130",0.24%,-0.47%,1.71%,-0.42%,$171K,$677.7M
BONGO/SOL Bongo Cat,$0.04030,1y,"3,464","3,464","3,464",1.10%,4.85%,8.31%,39.83%,$1.3M,$40.2M
SKBDI/SOL Skibidi Toilet,$0.2112,1y,"3,303","3,303","3,303",-0.16%,0.94%,-1.56%,5.45%,$939K,$15.8M
HEX/DAI HEX,$0.01378,1y,944,944,944,0.15%,0.45%,5.56%,-10.26%,$202K,$8.21B
NFTXBT/VIRTUAL nftxbt by Virtuals,$0.01289,1mo,838,838,838,-0.56%,-12.08%,17.76%,-6.72%,$1.2M,$12.8M
RM9000/SOL Roastmaster9000,$0.005239,1mo,"2,733","2,733","2,733",-0.22%,-4.28%,21.63%,-19.62%,$468K,$5.2M
EzMoney/SOL EzMoney AI,$0.0009654,10d,"5,744","5,744","5,744",1.91%,5.54%,19.16%,61.81%,$151K,$915K
FAC/WETH Flying Avocado Cat,$0.3645,1y,43,43,43,0%,2.95%,7.72%,2.09%,$492K,$3.3M
moon/SOL can you see?,$0.001438,27d,687,687,687,-2.09%,3.05%,44.10%,53.73%,$229K,$1.4M
SHRUB/SOL Elon Hedgehog,$0.001015,2mo,"1,430","1,430","1,430",-0.31%,-9.39%,-13.94%,37.26%,$328K,$1.0M
AI9000/WAVAX ai9000 Token,$0.01585,22d,"1,237","1,237","1,237",1.99%,3.95%,12.22%,46.65%,$1.2M,$14.9M
OBOT/SOL OBOT,$0.01032,1mo,"1,966","1,966","1,966",0%,-1.09%,-2.51%,-11.24%,$751K,$7.5M
JJ/WETH JEJE,$0.081228,7mo,14,14,14,0%,0.56%,2.02%,-0.68%,$212K,$516K
BARSIK/SOL Hasbulla's Cat,$0.01648,1mo,"2,455","2,455","2,455",-0.25%,-4.81%,1.93%,11.50%,$976K,$16.4M
DECT/USDC DEC Token,$0.0002214,11d,16,16,16,0%,-1.61%,0.80%,-2.77%,$106K,$221K
HORUS/WETH HORUS,$0.01888,1mo,25,25,25,0%,0%,-0.78%,-10.31%,$197K,$1.4M
AIKA/SOL Reflections of Dissonance AI,$0.0004164,1mo,"1,056","1,056","1,056",0.04%,-6.41%,13.14%,66.43%,$149K,$412K
ASF/WETH Asymmetry Finance Token,$1.56,1mo,50,50,50,0%,0%,-0.50%,1.16%,$770K,$11.8M
MANEKI/SOL MANEKI,$0.005183,8mo,"5,233","5,233","5,233",-0.12%,-0.86%,2.00%,-0.90%,$14.7M,$45.4M
$TOMO/WETH Tomo Cat,$0.005028,1mo,2,2,2,0%,0.71%,0.71%,0.71%,$258K,$4.7M
CATGF/SOL cat girl,$0.001482,2mo,"3,089","3,089","3,089",-0.29%,-0.22%,-17.88%,42.56%,$338K,$1.4M
FACTORY/WETH ChainFactory,$0.05496,1y,17,17,17,0%,0%,-1.94%,4.01%,$457K,$3.6M
XD/SOL Rawr,$0.002101,7mo,"3,146","3,146","3,146",1.05%,4.03%,9.61%,70.91%,$340K,$2.0M
叽歪/SOL JJYY,$0.0003778,5h,"4,393","4,393","4,393",7.49%,-10.66%,-69.82%,-69.82%,$5.3K,$368K
VIBE/SOL Vibe Cat,$0.005037,1mo,"2,103","2,103","2,103",0.41%,5.79%,13.41%,3.12%,$497K,$4.9M
ASD/SOL ArkSciDAO,$0.004035,5h,"1,573","1,573","1,573",-0.02%,36.63%,-22.05%,-22.05%,$17K,$4.0M
🟥🟩/SOL 🟥🟪🟦🟩🟨🟧,$0.004733,1mo,"1,211","1,211","1,211",0.36%,1.32%,9.01%,12.08%,$586K,$4.7M
BRO/WETH Neurobro by Virtuals,$0.02526,25d,"1,299","1,299","1,299",0.69%,1.92%,4.14%,-28.74%,$72K,$20.1M
LILX/SOL LIL X,$0.0004298,27d,"1,522","1,522","1,522",-0.91%,2.50%,-0.70%,-30.15%,$131K,$429K
$MONKE/WBNB Monkecoin,$0.055147,9mo,5,5,5,0%,0%,0%,-0.37%,$84K,$51K
brokie/SOL Brokie AI,$0.001534,18d,"2,539","2,539","2,539",-1.17%,6.61%,1.39%,72.11%,$179K,$1.5M
$OTTO/WETH Otto,$0.004770,24d,"1,442","1,442","1,442",0.80%,-3.27%,-6.28%,-19.92%,$1.0M,$4.7M
GRPH/USDC Soul Graph,$0.03817,20h,652,652,652,-3.64%,-7.55%,3.99%,3.99%,$110K,$38.1M
WMTX/WETH WorldMobileToken,$0.4586,3mo,33,33,33,0%,2.96%,8.34%,9.22%,$224K,$70.0M
tardi/SOL tardigrade,$0.001616,1mo,"1,404","1,404","1,404",-0.25%,-2.73%,6.06%,9.39%,$229K,$1.6M
PUMP/WETH Pump,$0.1718,10mo,14,14,14,0%,0.12%,0.04%,-10.87%,$73K,$3.6M
BOB/WETH BOB,$0.042562,1y,35,35,35,-0.08%,0.60%,0.30%,-2.12%,$2.5M,$17.6M
swarms/SOL swarms,$0.2337,14d,"2,076","2,076","2,076",-1.09%,-2.86%,13.24%,37.23%,$1.1M,$233.7M
BAR/WETH Gold Standard,$0.9247,5mo,23,23,23,0%,0.66%,-3.40%,-4.27%,$303K,$833K
Naughtius Maximus/WETH Naughtius Maximus,$0.5772,1y,182,182,182,-2.67%,13.46%,3.43%,71.93%,$73K,$519K
swarms/ZEREBRO swarms,$0.2318,3h,83,83,83,-1.08%,-2.96%,5.46%,5.46%,$72K,$231.8M
LOCK/WETH Houdini Swap,$0.4655,11mo,34,34,34,0%,-0.10%,0.70%,-0.61%,$1.6M,$44.7M
INF/TITANX INFERNO,$0.067489,5mo,44,44,44,0%,0.38%,1.05%,-2.66%,$513K,$2.0M
BOPPY/WETH Boppy The Bat,$0.082380,8mo,59,59,59,0%,0%,2.20%,-6.76%,$159K,$1.0M
SUPER/WETH SuperFarm,$1.50,3y,150,150,150,0%,0.66%,4.42%,-0.91%,$11.2M,$678.1M
TRUST/VIRTUAL $TRUST ME BROs by Virtuals,$0.02004,1mo,983,983,983,-0.34%,-3.21%,11.97%,-18.66%,$1.4M,$19.2M
ANTIRUG/SOL Anti Rug Agent,$0.001435,3d,"3,077","3,077","3,077",0%,1.11%,-3.78%,35.73%,$158K,$1.4M
ARCA/WETH ArcheriumAi,$0.007245,10d,14,14,14,0%,0%,-6.20%,-12.21%,$124K,$724K
CHRONOEFFE/SOL Chronoeffector,$0.0009181,5d,"1,392","1,392","1,392",-7.06%,6.62%,118%,207%,$120K,$918K
FAPCOIN/SOL FAPCOIN,$0.0001952,3d,"6,133","6,133","6,133",0.97%,4.75%,7.80%,-66.21%,$80K,$195K
$ROAR/WETH Roaring Kitty,$0.008624,2y,43,43,43,0%,-1.76%,-3.15%,-12.68%,$439K,$8.6M
MD/WETH METADECK,$0.09418,2mo,19,19,19,0%,3.50%,3.50%,49.10%,$138K,$941K
PSPS/WETH Boba Cat,$0.01385,1y,13,13,13,0%,0%,-3.23%,-5.38%,$618K,$7.9M
BOYSCLUB/WETH Boy's club,$0.009199,8mo,28,28,28,0%,0%,-0.77%,39.64%,$154K,$919K
IXIR/USDT IXIR,$0.007898,7mo,4,4,4,0%,0%,0.02%,0.02%,$84K,$297K
AERO/USDC Aerodrome,$1.51,9mo,"4,969","4,969","4,969",0.02%,-0.34%,0.18%,-2.26%,$203K,$1.090B
X28/TITANX X28,$0.065477,1mo,149,149,149,0%,-0.17%,0.94%,-1.96%,$1.7M,$5.5M
PAC/WETH America Pac,$0.0009539,5mo,14,14,14,0%,0%,-1.74%,4.89%,$160K,$406K
FINAI/WETH Fintra AI,$0.005407,22d,149,149,149,3.72%,33.70%,67.91%,-19.07%,$75K,$540K
SPURDO/WETH SPURDO,$0.001986,7mo,8,8,8,0%,0%,0%,4.78%,$355K,$1.9M
Daram/WETH Daram,$0.041516,2mo,112,112,112,0%,0.42%,-1.99%,-4.85%,$173K,$3.1M
SQUID/WBNB Squidanomics,$0.049238,15d,51,51,51,0.55%,0.55%,0.15%,-36.08%,$64K,$80K
ANARCHY/SOL ANARCHY,$0.004404,1mo,"1,618","1,618","1,618",0.39%,-1.41%,-8.39%,-24.56%,$301K,$1.8M
DEGEN/WETH Degen,$0.01029,11mo,"1,885","1,885","1,885",-0.27%,0.10%,5.19%,1.47%,$4.7M,$179.3M
DPM/SOL Diagonalization Proof Memecoin,$0.002177,1mo,"1,852","1,852","1,852",0.17%,-5.14%,-0.42%,-6.72%,$286K,$2.1M
BTC-B-DAY/SOL Bitcoin Birthday,$0.043183,1d,"10,806","10,806","10,806",-16.68%,-47.81%,-83.05%,-72.00%,$23K,$31K
TRNDO/WETH Tornado,$0.005182,5mo,3,3,3,0%,0%,-0.78%,-0.78%,$84K,$488K
REI/WETH Unit 00 - Rei,$0.1126,-,"1,929","1,929","1,929",3.67%,-4.37%,-15.68%,-25.99%,$371K,$112.6M
$horny/SOL $horny,$0.002591,2mo,"3,103","3,103","3,103",-0.75%,-6.57%,-12.92%,-3.84%,$390K,$2.5M
H0L0/SOL H0L0,$0.0008027,16d,"2,773","2,773","2,773",0.03%,0.81%,31.04%,45.07%,$150K,$774K
DEPIN/USDC DEPIN,$0.02885,19h,"16,718","16,718","16,718",0.30%,-7.77%,7.46%,48.51%,-,$34.6M
BLAST/USDB Blast,$0.009242,6mo,19,19,19,0%,0%,1.99%,0.70%,$71K,$221.2M
TOSHI/WETH Toshi,$0.0001395,1y,"1,311","1,311","1,311",-0.06%,-2.67%,-1.58%,13.26%,$1.5M,$58.7M
BRYAN/SOL DrPepe.ai,$0.074109,10d,"2,170","2,170","2,170",-2.32%,-5.24%,3.61%,16.21%,$564K,$36.5M
ongo/SOL ongo ai agent,$0.001277,1mo,855,855,855,1.70%,6.72%,14.03%,65.34%,$182K,$1.2M
VIRTU /VIRTUAL Virtu  by Virtuals,$0.003706,1mo,"1,370","1,370","1,370",-0.02%,-0.90%,10.66%,-39.76%,$826K,$3.7M
KIMBA/SOL The White Lion,$0.045378,1mo,"2,861","2,861","2,861",-0.04%,10.30%,61.00%,66.22%,$1.2M,$112.9M
MTK/SOL MyToken,$0.001194,8d,"2,038","2,038","2,038",0%,-9.70%,29.63%,-16.05%,$151K,$1.1M
Sonic/wS Sonic,$0.001212,15d,349,349,349,0.37%,6.58%,154%,202%,$164K,$618K
CRISPR/DRUGS Cas9,$0.005613,19d,"3,950","3,950","3,950",0.84%,2.15%,31.44%,-27.37%,$221K,$5.6M
MAGIC/WETH MAGIC,$0.5268,3y,"3,405","3,405","3,405",-0.26%,-0.42%,-0.85%,-1.79%,$2.8M,$160.4M
ai69x/SOL ai69x,$0.0008379,4d,"5,174","5,174","5,174",0%,6.64%,-14.32%,-15.62%,$112K,$837K
GTGOLD/WBNB GTGOLD COIN,$0.055743,27d,756,756,756,0.06%,2.68%,-2.28%,-21.44%,$64K,$947K
SP00GE/SOL SP00GE,$0.01052,21h,"8,362","8,362","8,362",5.51%,20.66%,-21.33%,615%,$310K,$10.5M
PRH/SUI PiranHype,$0.0002217,1mo,"2,831","2,831","2,831",-0.62%,1.41%,1.36%,57.44%,$55K,$221K
longevity/WBNB longevity,$0.0003955,1mo,7,7,7,0%,0%,-4.20%,-4.34%,$78K,$395K
